id,department_id,rfc,curp,sex,telephone,email,password,name,fathers_surname,mother_surname,role
f06207d1-a62d-40b9-af7d-c10c3eb9a443,1c372529-1f4f-42ae-894c-04742a5a990d,UiCS487883mXD,RXxL331137FYtaBdQS,1,0498621003,quinonesclara@example.org,nNuEOVkw#Q7p,Jonás,Valle,García,0
d170355f-55d2-4246-8deb-6438477aee47,74c3ae12-7a2e-401f-83bf-628e046d9a65,uTVl164819UUz,rjtY838878aZILToDR,1,9774966626,alberto12@example.net,Jx3cvGw_&*rc,Claudio,Valverde,Rivera,0
4bb3a531-27a8-47d3-a644-38fc4868b98c,4fcfe8b8-aa91-41dc-a57f-b3ae57745b93,CpcT543941qzB,DONV957496jQkrxHZm,0,9647624235,barriosisabela@example.com,w%gQScua94Y$,Humberto,Caraballo,Partida,0
387a1aec-ec56-4fc0-9b33-13ad2c8cc5fb,cd7b2335-24b2-488d-abfb-530f1576c02b,BreR792666rpx,qBFf473763CDEWqaEX,1,0770037706,duenassantiago@example.com,v#6XK%s4LJe@,Patricio,Roque,Elizondo,1
57cc19f7-a43a-48ac-ab6d-5bcd4329070d,5909277c-b22d-45a1-83e5-86da0a34179f,mzBO679987HGE,quWc240783SBpGdxYi,0,3411550449,luceronatalia@example.net,lz6UTeLh_2Sz,Leonardo,Sisneros,Salgado,0
cccde60c-0811-4888-a87a-9a4e22a6eaad,c7afbddd-a72e-4c35-a032-46dfc1a6d8e7,JEXP411545JTn,PNhC770305GqJmVVYL,1,6811854618,casillasernesto@example.org,!2xWgEYTj6(^,Francisca,Salgado,Orosco,1
aac2c41a-2408-44b9-9617-140f86e3d4ec,5909277c-b22d-45a1-83e5-86da0a34179f,zbLM485595RUC,zpvu365164sUKPOfpZ,0,6810968417,solorzanocamila@example.com,!zmOTbqH2hnz,Mayte,Porras,Mejía,1
aa6f3e49-4ec4-45b1-9595-cb371ca7df40,add9993b-bf77-4413-9edc-c414dbf349ef,ulRI947248SWh,DUMF539138kanKcLPV,0,9350245957,gmontoya@example.org,1qWVOiyH)U96,Julio,Ayala,Zarate,1
87c02581-5dbc-48b1-93fe-4e3f0c8831f1,9230c297-4e40-4162-8e71-608523d09941,qqoj228161YGW,JSja181784kExjoveR,0,4832572814,vanegaslorenzo@example.org,fl2P2RjmlD^!,Reina,Gracia,Muñiz,0
aca2b08d-2bb8-49b7-8270-0d8a148c472c,863e560f-fb2b-465b-8c24-a3371c1edcf4,yYrt195131NOL,qzfb290142KxAtTvgl,0,3032379799,tiradoirma@example.com,v77GteaL+U*!,Violeta,Villaseñor,Montes,1
48e96ae9-dccc-4cb9-bb0e-eccfe9ad2c20,bf2e1a05-97f0-495f-b2cf-4b765c1010bc,IFxJ492133dTu,EnVy063864PyQENzaE,1,9485294991,dmarrero@example.com,$!sw6DXhY9$5,Eloisa,Vélez,Anguiano,0
